doc_id,news_title,sentiment,char_length,word_count,processed_text
14,"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",1,228,33,memorandum understand mou party collaborate prepare implement joint project field combine power heat generation environmental protection energy efficient technology
15,higher sales sees concrete engineering products posting rm7.92m profit in 1q,1,76,11,higher sale see concrete engineer product post profit
16,The repurchases shall decrease the distributable capital and reserves .,-1,71,10,repurchase shall decrease distributable capital reserve
17,"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .",1,102,17,glaston headquarter tampere finland grow international glass technology
18,mrcb disposes of 40% interest in jvs to ekovest for rm8.5m,1,58,11,mrcb dispose interest jv ekovest
19,customs cancel plan to extend gst to over 60 food items,1,55,11,custom cancel plan extend gst food item
20,three-a resources' shares rise 6.6% following surge in 1q net profit,1,68,11,resource share rise follow surge net profit
21,"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",-1,178,31,finnair tallinn base subsidiary aero carry passenger decline route helsinki baltic capital within southern finland
22,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",-1,152,32,operate loss pulp paper machinery unit eur september august compare profit eur earlier
23,united engineers ' fy17 earnings fall 36% to s$89.6 mil on discontinued operations,-1,82,13,unite engineer earnings fall mil discontinue operation
24,fitch revises malaysian banks' outlook in 2016 to negative amid challenges,-1,74,11,fitch revise malaysian bank outlook negative amid challenge
25,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,-1,168,30,kone court paper union action delay repair elevator federal courthouse jan. saltonstall state office build jan.
26,"edra 's sale to foreign firms can lead to higher electricity tariff, says pkr",1,77,14,edra sale foreign firm lead higher electricity tariff pkr
27,plaza premium lounge named world 's best independent airport lounge for 2017,1,76,12,plaza premium lounge name world best independent airport lounge
28,"bimb 's 4q net profit climbs 5.17% y-o-y, revenue up 16.12%",1,59,11,bimb net profit climb revenue
29,"these 5 s ' pore-listed stocks could benefit from surprise delay in gst hike, says credit suisse",1,96,17,pore list stock benefit surprise delay gst hike credit suisse
30,"Jobs will not be transferred from Finland , however .",1,53,10,job transfer finland however
31,"tech stocks touch record highs, dollar steadies as trade fears ebb",-1,66,11,tech stock touch record high dollar steady trade fear ebb
32,lower liability cost could improve singapore banks ' net interest margins,1,73,11,lower liability cost improve singapore bank net interest margin
33,The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,1,140,22,social plan negotiation part turn around program expect ensure salomon future competitiveness
34,Shire in talks with Baxalta shareholders,1,40,6,shire talk baxalta shareholder
35,unusual says mulling ' corporate exercise ' in response to sgx query,1,68,12,unusual mull corporate exercise response sgx query
36,"pentamaster 's 2q net profit doubles on higher revenue, better product mix",1,74,12,pentamaster net profit double higher revenue better product mix
37,capitaland mall trust kept at ' buy ' in the face of new retail supply,1,70,15,capitaland mall trust keep buy face retail supply
38,zecon to raise about rm6.5 mil from private placement for working capital,1,73,12,zecon raise mil private placement work capital
39,TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010 .,1,108,19,teliasonera secure delivery modem support quarter
40,roxy-pacific 's 4q earnings drop 39% to s$7.27m; declares final dividend of 0.771 s ' pore cents,-1,96,17,roxy pacific earnings drop declare final dividend pore cent
41,klci seen opening higher in line with global equities ' rally,1,61,11,klci see open higher line global equity rally
42,opus goodwill impairment drags uem edgenta into the red in 2q,1,61,11,opus goodwill impairment drag uem edgenta red
43,"hartalega, mahb shares surge as they join klci list, but fall of oil price hits dialog shares",1,93,17,hartalega mahb share surge join klci list fall oil price hit dialog share
44,mrcb fixes issue price at rm1.09 for first tranche private placement shares,1,75,12,mrcb fix issue price tranche private placement share
45,pavilion reit to participate in ownership of pavilion bukit jalil mall,1,70,11,pavilion reit participate ownership pavilion bukit jalil mall
46,airbus raises base prices of commercial planes by an average 2%,-1,63,11,airbus raise base price commercial plane average
47,csc 's fy18 seen to be weighed down mainly by weaker margins,-1,60,12,csc see weigh mainly weaker margin
48,bank negara to cooperate with rci on central bank forex probe,-1,61,11,bank negara cooperate rci central bank forex probe
49,ytl power 's gas service agreement seen to be inked soon,1,56,11,ytl power gas service agreement see ink soon
50,prg inks strategic agreement with china firm to undertake construction jobs,1,75,11,prg ink strategic agreement china firm undertake construction job
51,Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,1,102,22,partially offset mln eur gain sale celbi pulp plant portugal
52,"with china 's help, cambodia strongman set to extend 33-year rule",1,65,11,china help cambodia strongman set extend rule
53,rhb strategy for 2017: singapore medical group 's expansion into vietnam market is just the beginning,1,101,16,rhb strategy singapore medical group expansion vietnam market begin
54,pm najib: bukit bintang city centre ' significant national-level development ',1,78,11,najib bukit bintang city centre significant national level development
55,chew 's group shares down 3 s' pore cents on news of thunderstorm damage,-1,72,14,chew group share pore cent news thunderstorm damage
56,external factors to hurt airasia 's earnings in fy17 to fy18 - cimb research,-1,76,14,external factor hurt airasia earnings cimb research
57,cover story: ' we took a negative final investment decision ',-1,61,11,cover story take negative final investment decision
58,emas offshore narrows 1q net loss on higher finance and other income,-1,68,12,emas offshore narrow net loss higher finance income
59,"gadang 's 4q net profit climbs 20% on better margins, higher revenue",1,68,12,gadang net profit climb better margin higher revenue
60,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",1,94,16,strengthen exist partnership cybercom teleste cto esko myllyla
61,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",-1,193,37,earlier today geberit finnish rival uponor oyj cut full sale growth forecast blame tough condition germany well currency factor
62,Sainsbury sales slip again as price pressures take a toll,-1,57,10,sainsbury sale slip price pressure take toll
63,"hong kong home prices hit another record, but could face headwinds",-1,66,11,hong kong home price hit another record face headwind
64,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",-1,64,10,ftse fall china devaluation hit burberry mine stock
65,hong leong bank 4q net profit down 14% on year at rm483m,-1,56,12,hong leong bank net profit
66,"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",-1,78,17,offer deem low finnlines board stand tomorrow
67,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,1,144,21,lietuvos respublikos sveikatos apsaugos ministerija award contract uab affecto lietuva financial system software package
68,"fgv 's cfo ahmad tifli has replied to show-cause letter, remains on leave of absence",-1,84,15,fgv cfo ahmad tifli reply show cause letter remain leave absence
69,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",-1,97,18,number permanent reduction clerical worker employee finland
70,"bermaz auto sees strong start to fy19, pays 2.5 sen dividend",1,60,11,bermaz auto see strong start pay sen dividend
71,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,-1,210,42,august finnish measure equipment maker vaisala oyj hel vaias today net loss widen eur half eur correspond period earlier
72,"poh huat 's 2q net profit falls 14.3%, declares 2 sen dividend",-1,62,12,poh huat net profit fall declare sen dividend
73,"In addition to Russia , we now seek additional growth in Ukraine .",1,66,13,addition russia seek additional growth ukraine
74,marc assigns stable outlook to serba dinamik 's islamic commercial papers,1,73,11,marc assign stable outlook serba dinamik islamic commercial paper
75,malaysia airlines to pass on psc savings to passengers on asean travel,1,70,12,malaysia airline pas psc save passenger asean travel
76,Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,-1,133,22,layoff take place suomussalmi kuhmo plant autumn result codetermination negotiation hold
77,fbm klci up before erasing gains as financial reporting season nears conclusion,1,79,12,fbm klci erase gain financial report season near conclusion
78,Tesco leads leap in FTSE 100; Marks & Spencer drops,-1,51,10,tesco lead leap ftse mark spencer drop
79,singapore 's 3q gdp up 0.6% on year in advance estimates,1,56,11,singapore gdp advance estimate
80,"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week .",1,197,35,jawad williams score point impressive debut jerusalem jason rich add yuval naimi chip point hapoel visit yellow blue next week
81,hong kong 's fwd to buy hsbc 's stake in malaysian insurance venture - sources,1,78,15,hong kong fwd buy hsbc stake malaysian insurance venture source
82,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,1,152,29,recommendable nokian adac judgement latest summer tyre test german automobile association adac
83,myix announces lower port fee to support local isps and others,1,62,11,myix announce lower port fee support local isps others
84,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,1,66,12,legal general arm buy stake mediacityuk manchester
85,Fewer multi-buys hurt Sainsbury's market share,-1,46,6,fewer multi buy hurt sainsbury market share
86,gas malaysia 's profit jumps in 2q on higher volume of natural gas sold,1,71,14,gas malaysia profit jump higher volume natural gas sell
87,"midf research upgrades sunway construction to buy, raises target to rm1.32",1,74,11,midf research upgrade sunway construction buy raise target
88,asia ex-japan may see a less bountiful 2018 after record year of bond transactions: debtwire,-1,92,15,asia japan may see less bountiful record bond transaction debtwire
89,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",-1,74,15,outokumpu steel mill tornio finland suspect source
90,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",1,165,31,wartsila contract october plant instal manturovo kostroma region russia northeast moscow russia
91,thailand holds key rate as it keeps watch on volatile baht,1,58,11,thailand hold key rate keep watch volatile baht
92,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",1,138,22,henning bahr stockmann gruppen praise trend since chain become stronger decision make process clear
93,cimb says it has zero tolerance for staff who misuse information or position,1,76,13,cimb zero tolerance staff misuse information position
94,Aggreko 2015 Profit Declines - Quick Facts,-1,42,7,aggreko profit decline quick fact
95,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",-1,143,27,finnish national carrier net loss april june euro million net profit euro million earlier
96,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",1,138,22,finnish ahlstrom corporation double investment specialty glassfiber reinforcement plant south carolina
97,sgx signs moi with imda to lower barriers for tech companies to access capital markets,1,86,15,sgx sign moi imda lower barrier tech access capital market
98,"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",1,238,47,adpnews nov four agree buy combine sek billion usd eur drug store offer sale part restructure swedish state own pharmacy monopoly apoteket
99,"nam cheong swings back to profitability in 1h18 post debt restructuring, resumes trading today",1,94,14,nam cheong swing back profitability post debt restructure resume trade today
100,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",1,67,17,profit period eur eur
101,klci to remain lacklustre in line with overnight fall at global markets,-1,71,12,klci remain lacklustre line overnight fall global market
102,The main strength of the cooperation project lies in merging the know-how of two large companies .,1,98,17,main strength cooperation project lie merge know large
103,"manulife us reit placement ' well over-subscribed ', raises gross proceeds of us$80.5 mil",1,89,14,manulife reit placement well subscribe raise gross proceed us$ mil
104,ytl power to develop rm8.42b jordan power plant with china 's yudean group,1,74,13,ytl power develop jordan power plant china yudean group
105,airasia denies claims tony fernandes will resign to enter the financial technology sector,1,89,13,airasia deny claim tony fernandes resign enter financial technology sector
106,"bright packaging 's 1q net loss widens on lower sales volume, forex losses",-1,74,13,bright package net loss widen lower sale volume forex loss
107,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1,144,21,elisa mobile subscription grow mainly customer adopt call generation mobile technology
108,tasco venturing into cold chain logistics via rm188m buy of gold cold,-1,69,12,tasco venture cold chain logistics buy gold cold
109,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1,201,39,february finnish medium sanoma oyj hel saa yesterday net profit almost triple eur eur announce proposal raise payout
110,"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",1,147,26,agreement continue good cooperationand time release capital tie ourmachinery operation
111,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,1,143,27,finnish pharmaceutical orion net sale rise eur quarter eur quarter
112,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",1,165,31,citigroup inc nyse announce global transaction service gts business award mandate finland base pohjola bank group
113,china jinjiang environment an opportunity to tap on fast-growing waste-to-energy market,1,87,11,china jinjiang environment opportunity tap fast grow waste energy market
114,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,-1,108,19,finnair cancellation flight cause daily loss million us$ million
115,"hlib research upgrades brahim ' s, raises target to 98 sen",1,58,11,hlib research upgrade brahim raise target sen
116,marc affirms sime darby plantation 's aaa rating with stable outlook,1,68,11,marc affirm sime darby plantation aaa rat stable outlook
117,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,1,201,32,finnish automation solution developer cencorp corporation omx helsinki cnc friday june complete employee negotiation regard reorganisation operation
118,"global airline share prices rose by 3.6% in october, says iata",1,62,11,global airline share price rise october iata
119,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,-1,148,30,net sale period expect fall well last result non recur item expect red
120,hap seng plantations warns of lower fy18 earnings as 2q profit slumps 85%,-1,73,13,hap seng plantation warn lower earnings profit slump
121,"likely special dividend by airasia from aac stake sale, says cimb research",1,74,12,likely special dividend airasia aac stake sale cimb research
122,"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .",1,172,28,satlan acquisition teleste plan expand market presence video service partner cable operator broadcaster iptv service provider
123,"pricing, asset quality and cost-cutting the keys in mbsb-muamalat merger talks",1,78,11,price asset quality cost cut key mbsb muamalat merger talk
124,"ambank, rhb bank fall after moody 's report on proposed merger",-1,62,11,ambank rhb bank fall moody report propose merger
125,Unilever Continues to Battle Soft Demand,-1,40,6,unilever continue battle soft demand
126,banking sector seen on track for 5% loan growth in 2018,1,55,11,bank sector see track loan growth
127,"indonesia may need to keep hiking rates, but no crisis brewing - bank ceo",1,73,14,indonesia may need keep hike rate crisis brew bank ceo
128,"As a result , the company has decided it will implement fixed-term temporary lay-offs .",-1,87,15,result decide implement fix term temporary lay off
129,parkway life reit posts 3.7% drop in 2q dpu to 3.19 cents on absence of one-off gains,-1,85,17,parkway life reit post drop dpu cent absence gain
130,"how does helping a client sabotage an economy, asks lawyer in sosma case",1,72,13,help client sabotage economy ask lawyer sosma case
131,"UPDATE 1-Norway's Statoil shakes up top management, replaces CFO",-1,64,9,norway statoil shake top management replace cfo
132,ram: local shippers to see keener competition following cabotage policy relaxation,-1,82,11,ram local shipper see keener competition follow cabotage policy relaxation
133,dr m to bring in chinese car parts makers to improve local talent,1,65,13,bring chinese car part maker improve local talent
134,versatile creative terminated as main contractor for us$69.3m halal vaccine project,1,83,11,versatile creative terminate main contractor us$ halal vaccine project
135,apple to start india manufacturing in coming months with iphone se - source,1,75,13,apple start india manufacture come month iphone source
136,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",-1,138,23,uncommonly weak snow condition nearly every market affect quarter result chief executive roger talermo
137,affin hwang am cautions investors against ' chasing the market ' amid market rally,-1,82,14,affin hwang caution investor chase market amid market rally
138,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",1,119,22,time sale development russia boost open stockmann nevsky centre petersburg
139,th heavy slumps 13.33% after auditor casts concern on future operations,-1,71,11,heavy slump auditor cast concern future operation
140,The company also expects to sell its products in other Russian region .,1,71,13,expect sell product russian region
141,"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",1,115,22,project revenue billion billion slightly higher analyst estimate billion
142,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",1,198,32,strategic cooperation rentakran bring customer already work relationship authority territory jarmo laasanen senior manager cramo
143,sgx refines surveillance system to allow greater unusual share trading movement,1,79,11,sgx refine surveillance system allow greater unusual share trade movement
144,yuan 's record weekly losing streak puts specter of 7 in play,-1,61,12,yuan record weekly lose streak put specter play
145,kps ups stake to 51% in firm awarded rm174m infrastructure job,1,62,11,kp up stake firm award infrastructure job
146,hap seng plantations to acquire smaller rival kretam for rm1.18b or 92 sen per share,1,84,15,hap seng plantation acquire smaller rival kretam sen per share
147,f&n 3q net profit jumps 51% on higher contribution from malaysia and thailand,1,77,13,net profit jump higher contribution malaysia thailand
148,"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",-1,77,15,therefore result remain weaker
149,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,1,78,12,barclays poach chief operate officer paul compton morgan chase
150,"hiring woes largely due to lack of online presence, suggests survey",-1,67,11,hire woe largely due lack online presence suggest survey
151,petronas slashes 2016 dividend by 38.5% to rm16b after sharp profit fall,-1,72,12,petronas slash dividend sharp profit fall
152,`` We 've been feeling quite positive about the region as a whole .,1,67,14,feel quite positive region whole
153,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",1,107,23,lifetree found revenue rise average margin late
154,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",1,121,23,apartment block well locate easy reach city center close school kindergarten
155,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",1,129,23,vessel order help aspo secure long term competitiveness fleet term technology price
156,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1,254,50,foundry division report sale increase eur eur correspond period sale machine shop division increase eur eur correspond period
157,"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",1,162,31,finnish aktia bank manage director jussi laitinen bank aim triple number customer finland next five
158,lotte chemical 2q net profit at rm315.03m vs rm113.62m on revenue of rm2.27b vs rm1.78b a year ago,1,98,18,lotte chemical net profit revenue ago
159,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,-1,72,16,operate profit eur compare eur
160,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",-1,112,20,finland snow storm bring tree power line cut electricity household
161,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",-1,136,25,coca cola market leader manufacturer market share correspond period
162,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,-1,82,15,operate profit fourth quarter fell eur eur earlier
163,"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",1,222,42,full expect net sale operate result improve previous say positive operate result amount depend order intake end summer
164,Britain cuts Lloyds Banking Group stake to below 17 pct,-1,55,10,britain cut lloyd bank group stake
165,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",1,134,29,finnish sampo bank danish danske bank group report profit tax eur eur
166,"sinmah capital to go into property development, forms jv with encorp",1,68,11,sinmah capital property development form encorp
167,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,1,196,33,nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor long stand partnership continue grow stronger time
168,bumi armada reports rm124m 3q net profit on better fpso businesses,1,66,11,bumi armada report net profit better fpso business
169,gic in talks to buy stake in us clinical trials firm: sources,1,61,12,gic talk buy stake clinical trial firm source
170,bertam alliance unit served notice of demand for payment of rm4.57m and continuing interest,1,91,14,bertam alliance unit serve notice demand payment continue interest
171,malaysia drops four spots to 23rd place in global ip protection,-1,63,11,malaysia drop four spot place global protection
172,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",1,83,16,basware product sale grow strongly financial period
173,"macc to record  statements from fgv 's mohd isa, senior management",-1,66,11,macc record statement fgv mohd isa senior management
174,Activist Fund TCI Backs German Takeover of London Stock Exchange,1,64,10,activist fund tci back german takeover london stock exchange
175,guocoland 1q net profit down 99% on absence of fair value gain,1,62,12,guocoland net profit absence fair value gain
176,most se asian stocks fall; indonesian shares slide as rupiah slumps,-1,67,11,asian stock fall indonesian share slide rupiah slump
177,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",-1,121,23,operate margin however slip drag poor performance enterprise solution
178,"The subscriptions increase Cargotec 's share capital by 36,780 euros .",1,70,11,subscription increase cargotec share capital euro
179,Small investors have voiced fears that the shares will end up with risk investors .,-1,83,15,small investor voice fear share end risk investor
180,mk land unit slapped with irb lawsuit over rm26.98m tax claim,-1,61,11,land unit slap irb lawsuit tax claim
181,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",1,204,33,invest physical infrastructure provide know manage develop science technology park sunrise valley director andrius bagdonas
182,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,1,73,11,glaxosmithkline set complete billion novartis asset swap next week
183,AstraZeneca profit down as sales of stalwarts fade,-1,50,8,astrazeneca profit sale stalwart fade
184,"higher oil price may boost knm momentum, says public ib research",1,64,11,higher oil price may boost knm momentum public research
185,malaysia airlines converts 737 max 8s order for 10 737 max 10s,1,62,12,malaysia airline convert max order max
186,oil speculators bet rally 's over as doubts grow on output freeze,-1,65,12,oil speculator bet rally doubt grow output freeze
187,"klci halts ascend, tracks regional markets on u.s.-china trade war woes",-1,71,11,klci halt ascend track regional market u.s. china trade war woe
188,cimb niaga 's loan growth is targeted to pick up this year,1,58,12,cimb niaga loan growth target pick
189,hong leong ib: george kent in ' prime position ' for kl-singapore hsr bid,1,73,14,hong leong george kent prime position singapore hsr bid
190,informatics education reports 24% fall in 3q earnings to s$0.8 mil,-1,66,11,informatics education report fall earnings mil
191,CompaniesLord Livingston joins Dixons Carphone,1,46,5,companieslord livingston join dixons carphone
192,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",1,98,20,comparable net sale expect increase line group target
193,"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",1,202,35,result distribution start distribute addition current product offer shimano reel rod shimano fish tackle product exclusive basis
194,klci falls 13.92 points as local stocks catch up with regional decline,-1,70,12,klci fall point local stock catch regional decline
195,federal court rules statements recorded by sc are protected from disclosure,1,75,11,federal court rule statement record protect disclosure
196,gd express 3q net profit up 9.28% on higher courier services demand,1,67,12,express net profit higher courier service demand
197,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",1,110,21,result russia import restriction finnish dairy cancel august
198,china to pull approval for facebook 's planned venture - nyt,1,60,11,china pull approval facebook plan venture nyt
199,Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,1,138,21,loan use finance strategic investment shop center redevelopment project refinance mature debt
200,bain files for china antitrust approval on us$18b toshiba chips deal - source,-1,77,13,bain file china antitrust approval us$ toshiba chip deal source
201,CompaniesG4S claims 'positive' start to the year,1,48,7,companiesg claim positive start
202,ecoworld to hand over aurora and basalta @ eco sky by this year-end,-1,67,13,ecoworld hand aurora basalta eco sky end
203,"bison 's 2q net profit at rm4m, declares 1.5 sen dividend",1,57,11,bison net profit declare sen dividend
204,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",1,102,16,systeemitiimi sale project resource strengthen director paul skogberg
205,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1,158,25,change optimize operational efficiency grow business julia prohaska director market communication fiskars
206,advance synergy 's unit completes investment in vietnam 's top mobile service provider,1,86,13,advance synergy unit complete investment vietnam top mobile service provider
207,"' foreign buying loses traction, falls to lowest this year '",-1,60,11,foreign buy lose traction fall lowest
208,rubberex 2q net profit down 36% on higher costs of production,-1,61,11,rubberex net profit higher cost production
209,ccm duopharma 's gearing to rise to 0.87 times on rm280m financial facilities,-1,77,13,ccm duopharma gear rise time financial facility
210,mudajaya signs 21-year ppa with tnb to build solar plant in perak,1,65,12,mudajaya sign ppa tnb build solar plant perak
211,sin hee yang property group launches four new projects in bandar baru salak tinggi,1,82,14,sin hee yang property group launch four project bandar baru salak tinggi
212,"from anime to m&a, how netflix plans to spend us$8 bil in 2018",1,62,13,anime netflix plan spend us$ bil
213,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,-1,64,8,seattle flotilla protest shell arctic drill plan
