doc_id,news_title,sentiment,text_length,word_count,processed_text,predicted_sentiment,predicted_probability
1103,"METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output",1,74,11,metalszinc soars pct fuelling metals surge after glencore cuts output,-1,0.6123469339233076
2158,In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service .,-1,184,29,february elcoteq group sold its st petersburg facility according unconfirmed information reason supply problems because russian customs service,1,0.7383092350518093
2883,London stock exchange shareholders vote on merger deal under Brexit cloud,-1,73,11,london stock exchange shareholders vote merger deal under brexit cloud,1,0.526716127630931
2341,"singapore 's mice sector draws more investors, amid tough regional rat race",-1,75,12,singapore s mice sector draws more investors amid tough regional rat race,1,0.5706362183812328
904,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,1,140,26,viking line head jan kaarstroem told tt that his company s ferries well equipped handle ice that all passengers safe,-1,0.545060013842334
3391,dbs emerges as deutsche bank 's only ' buy' in challenging bank sector,1,70,13,dbs emerges as deutsche bank s only buy challenging bank sector,-1,0.574208685319546
2873,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,-1,56,8,shells billion bg deal meets shareholder skepticism,1,0.7204071479438022
3648,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",1,65,9,ftse rallies off threemonth low boosted stanchart sainsbury,-1,0.5993582165076626
914,malaysia confident of keeping sea games 2017 cost 50% below singapore,1,69,11,malaysia confident keeping sea games cost below singapore,-1,0.5103736129581034
2345,malaysia says ' can ' retaliate if eu discriminates against palm oil,1,68,12,malaysia says can retaliate if eu discriminates against palm oil,-1,0.7979909006744406
4259,genting singapore mid-term prospects intact even as lady luck turns shy,-1,71,11,genting singapore midterm prospects intact even as lady luck turns shy,1,0.5623107311979393
2798,"pac cites petrosaudi jv, purchase of tanjong power plant, placement of us$2.2b with bridge as instances of poor governance",-1,122,19,pac cites petrosaudi jv purchase tanjong power plant placement usb bridge as instances poor governance,1,0.6727695862178074
2963,malaysia slips one notch to 24th in world bank 's doing business report,-1,71,13,malaysia slips one notch th world bank s doing business report,1,0.5352723755601415
799,best world says pyramid scheme crackdown has little to no impact on china business,1,82,14,best world says pyramid scheme crackdown little no impact china business,-1,0.5744733297443616
3504,' various factors' led to airasia calling off china lcct plan,1,61,11,various factors led airasia calling off china lcct plan,-1,0.6478152845368581
2536,"kim loong 1q19 net profit down 15% on lower ffb production, cpo price",1,69,13,kim loong q net profit down lower ffb production cpo price,-1,0.7464634334711393
1870,"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",-1,119,24,fair value change investment properties eur mn compared eur mn third quarter,1,0.646875547690736
2559,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",-1,113,22,one dark spot horizon however company s performance finnish bottled water market,1,0.5939521975763946
3718,"malaysia 's export growth to slow to 15.9% in september, says ram ratings",-1,73,13,malaysia s export growth slow september says ram ratings,1,0.571206890350537
4173,sgx 's 3q earnings up 21% to hit 10-year-high of s$100.5 mil,-1,60,12,sgx s q earnings up hit yearhigh s mil,1,0.6619346905107294
348,"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",1,106,20,quarterly diluted eps continuing operations came eur compared last year s eur,-1,0.5432225951347204
1859,"foreign investors mopped up rm1.76b malaysian equity last week, says midf research",-1,82,12,foreign investors mopped up rmb malaysian equity last week says midf research,1,0.6590517385792259
566,"new zealand 's reserve bank cuts cash rate, signals more to come",-1,64,12,new zealand s reserve bank cuts cash rate signals more come,1,0.6629887232711497
3748,"' we facilitated 1mdb probe by providing witness testimony, supporting documents'",1,81,11,we facilitated mdb probe providing witness testimony supporting documents,-1,0.5226625911993199
953,Aviva weighs cash handout after beating profit forecast,1,55,8,aviva weighs cash handout after beating profit forecast,-1,0.5102360269506376
3731,sime darby 's ffb production growth expected to be zero to 5%,-1,61,12,sime darby s ffb production growth expected zero,1,0.6590503226922928
2171,singapore caught in centre of bhp billiton 's alleged s$1 bil tax evasion storm,-1,79,14,singapore caught centre bhp billiton s alleged s bil tax evasion storm,1,0.6104902216546343
2532,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,1,65,10,uk morning briefing sky hargreaves lansdown bookend ftse,-1,0.6215751764770023
1207,"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",1,79,17,profit after taxes eur mn compared eur mn previous year,-1,0.6148384036407633
1721,"glomac 4q net profit shrinks 94.36%, proposes 1.5 sen final dividend",-1,68,11,glomac q net profit shrinks proposes sen final dividend,1,0.6328449603800983
1405,"The competition was received with great enthusiasm by the employees , he goes on .",1,82,15,competition received great enthusiasm employees he goes,-1,0.5647589629281146
359,i-bhd 's 3q net profit slips 12.7%; stays confident of commendable fy17 results,-1,79,13,ibhd s q net profit slips stays confident commendable fy results,1,0.6093801659209047
3987,malaysia 's 2017 inflation seen averaging up to 4% on higher fuel price,-1,71,13,malaysia s inflation seen averaging up higher fuel price,1,0.6511068222809246
3100,RBS becomes a shadow of its former self,-1,39,8,rbs becomes shadow its former self,1,0.5141450559962082
1197,ringgit ready for rebound as foreign funds ease pressure on bnm,1,63,11,ringgit ready rebound as foreign funds ease pressure bnm,-1,0.5121275537405505
1620,Eurocrat left best-placed to unravel London Stock Exchange deal,-1,63,9,eurocrat left bestplaced unravel london stock exchange deal,1,0.5862543910013897
2922,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",-1,267,46,tallink silja attributes significant drop problems booking system that taken into operation october sale trailer ferry sky wind route between stockholm riga which won passengers from helsinkistockholm route,1,0.5417025969921193
4210,Berkshire Hathaway's 4Q profit declines 17 percent,-1,50,7,berkshire hathaways q profit declines percent,1,0.5890563448995704
3022,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",1,211,42,finnish metal products company componenta oyj hel cthv said today its net loss narrowed eur usd last quarter from eur million same period year earlier,-1,0.5252414800872439
3880,Goodwin not to face Scottish prosecution over RBS,1,49,8,goodwin not face scottish prosecution over rbs,-1,0.9149552430322749
46,airbus raises base prices of commercial planes by an average 2%,-1,63,11,airbus raises base prices commercial planes average,1,0.6885284413017867
2025,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,-1,63,9,stakes high astrazeneca heart drug facing tough competition,1,0.5239693490959395
1559,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",-1,129,23,it services firm tietoenator bucking general trend holding flat eur after slipping back from earlier gains,1,0.5722554631087047
2183,asia pacific 's banks are missing out on this business growth opportunity,-1,73,12,asia pacific s banks missing out this business growth opportunity,1,0.6971138864749999
1468,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,1,95,17,lloyds banking groups share price lifts amid reports bank poised axe hundreds uk jobs,-1,0.6877906407273862
3402,chinese imports to us ports start peaking early amid tariff threat,-1,66,11,chinese imports us ports start peaking early amid tariff threat,1,0.541259302570348
4273,"`` The number of collection errors fell considerably , and operations speeded up .",1,82,14,number collection errors fell considerably operations speeded up,-1,0.5855924507264609
2577,Standard Life impresses as fee-based products offset annuities slump,1,68,9,standard life impresses as feebased products offset annuities slump,-1,0.5248646813962856
4146,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .",-1,116,18,thanks internet consumers compare products more than previously finnish companies not competitive,1,0.5708401466948732
2175,aramco plans to ship first crude oil to malaysia jv refinery in oct - sources,-1,77,15,aramco plans ship first crude oil malaysia jv refinery oct sources,1,0.5366833199235493
2242,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,1,93,17,district court helsinki dismissed all charges as court first instance,-1,0.6506771920611114
401,"as trump 's cue cheers markets, north korea missile tests sentiment",1,67,11,as trump s cue cheers markets north korea missile tests sentiment,-1,0.6060786690984088
3823,here are some stocks dbs says should benefit from singapore 's budget 2017,1,74,13,here some stocks dbs says benefit from singapore s budget,-1,0.5012131299459452
2061,"correction continues for fbm small cap index, says rhb retail research",1,70,11,correction continues fbm small cap index says rhb retail research,-1,0.6756385441900024
2538,Kingfisher share price slides on cost to implement new strategy,-1,63,10,kingfisher share price slides cost implement new strategy,1,0.601752025345687
3020,china 's huawei slams australia 5g mobile network ban as ' politically motivated ',-1,82,14,china s huawei slams australia g mobile network ban as politically motivated,1,0.6081946890352187
3666,pasukhas unit sues four companies for failing to return rented goods,-1,68,11,pasukhas unit sues four companies failing return rented goods,1,0.5128543260766587
30,"Jobs will not be transferred from Finland , however .",1,53,10,jobs not transferred from finland however,-1,0.845783719413047
590,lbs bina 's ' smart move ' to rope in nwp,1,41,11,lbs bina s smart move rope nwp,-1,0.5786825505443844
1912,apple 's siri learns shanghainese as voice assistants race to cover languages,1,77,12,apple s siri learns shanghainese as voice assistants race cover languages,-1,0.5230649295832656
766,"global sovereign rating outlook set to be strongest in 7 years, says fitch ratings",1,82,14,global sovereign rating outlook set strongest years says fitch ratings,-1,0.5376626032984722
2871,eraman partners alipay to draw chinese tourists to its duty free and travel retail stores,1,89,15,eraman partners alipay draw chinese tourists its duty free travel retail stores,-1,0.5311419159632378
2196,rgb int' l set for early redemption of rm17.35m debt papers,-1,59,11,rgb int l set early redemption rmm debt papers,1,0.570454381147489
560,"malaysia 's april jobless rate stays at 3.4% m-o-m, unemployed persons up 0.2%",-1,78,13,malaysia s april jobless rate stays mom unemployed persons up,1,0.7843089449011557
3549,office segment a drag for sunway reit on high vacancy rate,-1,58,11,office segment drag sunway reit high vacancy rate,1,0.5265454964303254
3719,keppel fels says contracts for five jackup rigs for transocean to be novated to borr drilling,1,93,16,keppel fels says contracts five jackup rigs transocean novated borr drilling,-1,0.5451817864483912
3344,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",-1,85,17,stora enso oyj largest papermaker october said it close four mills,1,0.5023273897741658
2308,The program 's target is structural cost reductions of about EUR 30mn in 2009 .,1,79,15,program s target structural cost reductions about eur mn,-1,0.5865563530782107
2236,sarawak oil palms 1q net profit down 61% on lower output,1,56,11,sarawak oil palms q net profit down lower output,-1,0.7470182931333758
1441,manulife us reit is the best proxy to a recovering office market,1,64,12,manulife us reit best proxy recovering office market,-1,0.5144652056167762
2934,us probes into luxury real estates owned by businessman close to najib,1,70,12,us probes into luxury real estates owned businessman close najib,-1,0.5316051926736004
3043,oil majors reverse decade of stalled growth to beat supply crunch fears,-1,71,12,oil majors reverse decade stalled growth beat supply crunch fears,1,0.6438247256386356
1297,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1,237,43,helsinki afx shares closed higher led nokia after it announced plans team up sanyo manufacture g handsets nokian tyres after its fourthquarter earnings report beat analysts expectations dealers said,-1,0.5219927211849638
4019,"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",-1,96,17,according aktia asset management finnish analysts forecasts still too high,1,0.5045666580885183
4000,irb appeals dismissal of  rm26m tax bill against mega first unit,1,64,11,irb appeals dismissal rmm tax bill against mega first unit,-1,0.5892047697003426
89,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",-1,74,15,outokumpu s steel mill tornio finland suspected source,1,0.5442764812587301
4195,autonomous vehicles not (yet) driving taxis out of business in singapore,1,72,11,autonomous vehicles not yet driving taxis out business singapore,-1,0.511454195099222
1401,"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",-1,294,56,based first quarter result existing order backlog new order prospects company expects that fullyear sales contract from gross margin stay healthy level operating profit margin lower than due lower sales volume,1,0.5014695981587527
2,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",1,75,11,metalszinc surges pct after glencore cuts output fuelling metals rally,-1,0.6877356374735419
231,cwk group banks on mrt for wisma aman elite in cheras,1,53,11,cwk group banks mrt wisma aman elite cheras,-1,0.5271630276470656
2194,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",1,76,10,update exchanges barclays win dismissal us highfrequency trading case,-1,0.6917043001704098
1474,"singapore 's industrial production beats forecasts, but watch out for rising trade tensions",-1,91,13,singapore s industrial production beats forecasts watch out rising trade tensions,1,0.5145358682334618
905,"millennials do invest, even if they spend more money on discretionary items",1,75,12,millennials invest even if they spend more money discretionary items,-1,0.5860947704973822
2381,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",-1,166,25,finnish construction company yit reducing number startups marketfinanced residential units about from previously announced,1,0.5746351731226541
1916,credit suisse veteran says ' very major ' currency moves over,1,61,11,credit suisse veteran says very major currency moves over,-1,0.60001522991854
1517,"local retail sugar price among the world 's lowest, say refiners",1,64,11,local retail sugar price among world s lowest say refiners,-1,0.6398872294227812
3685,"umw holdings' 4q net loss at rm286m, revenue up on year at rm4.16b",-1,66,13,umw holdings q net loss rmm revenue up year rmb,1,0.6243570150295549
2655,too premature to ascertain luxury development freeze on jv projects - sd property,-1,81,13,too premature ascertain luxury development freeze jv projects sd property,1,0.7016504113481652
1150,"the price to try a drug could be $300,000 for dying patients",-1,60,12,price try drug dying patients,1,0.5472793536889062
3412,Diageo offloads major wine interests,-1,36,5,diageo offloads major wine interests,1,0.5880361208642503
4274,eco galleria phase 1 retail units at eco botanic 70% sold,1,57,11,eco galleria phase retail units eco botanic sold,-1,0.5285052039178886
4221,Bidders Abandon Auction Of Tesco Data Unit,-1,42,7,bidders abandon auction tesco data unit,1,0.5725972792548807
3326,"immediate hurdle for green packet at 59 sen, says alliancedbs research",-1,70,11,immediate hurdle green packet sen says alliancedbs research,1,0.6173135120827719
4279,"court dismisses developer 's appeal, orders it to pay condo owners rm3.97m",1,74,12,court dismisses developer s appeal orders it pay condo owners rmm,-1,0.6179511417838879
1799,palm oil prices to rise in next 3-6 weeks on insufficient output,-1,64,12,palm oil prices rise next weeks insufficient output,1,0.6993126658756031
2591,capitaland reports 18.8% lower 1q earnings to s$319.1m on absence of one-off gain,1,81,13,capitaland reports lower q earnings sm absence oneoff gain,-1,0.6775945821278676
3407,Shell challenges Exxon dominance with 47 billion-pound bid for BG,-1,65,10,shell challenges exxon dominance billionpound bid bg,1,0.525220062124079
3725,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",-1,180,33,making matters more difficult company said it grappling higher oil gas prices which pushed up cost energy raw materials transportation,1,0.7854040869621556
4246,"Tesco set to sell Kipa, Giraffe businesses - Sky News",-1,53,10,tesco set sell kipa giraffe businesses sky news,1,0.5150503176963944
2100,"china aviation oil 's fy18 prospects are encouraging despite lower margins, says edison",-1,87,13,china aviation oil s fy prospects encouraging despite lower margins says edison,1,0.5142433489540285
613,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",-1,183,34,sevenmonth sales ragutis which controlled finnish brewery olvi declined percent million liters company held percent market,1,0.5932089195323861
2067,"shouldn' t najib lodge report against us firm for wrong 1mdb info, asks pkr",1,75,14,shouldn t najib lodge report against us firm wrong mdb info asks pkr,-1,0.7059703632989468
847,Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .,1,233,39,finnish plumbing heating systems supplier uponor corporation omx helsinki unrv said tuesday august that its board directors authorised management proceed companywide cost reduction program,-1,0.6199393713822599
2070,"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business",-1,76,11,associated british foods profit hit strong sterling tough sugar business,1,0.6106624562706732
710,Dave Lewis admits long road ahead for Tesco recovery,-1,52,9,dave lewis admits long road ahead tesco recovery,1,0.5429903076580584
3695,"closure of branches will enhance operational efficiency of banks, say trade associations",1,88,12,closure branches enhance operational efficiency banks say trade associations,-1,0.5570713855309373
552,sime darby plantation to collaborate with china 's cofco on palm oil ventures,1,77,13,sime darby plantation collaborate china s cofco palm oil ventures,-1,0.5450986482480816
2123,"`` I 'm happy with the outcome , '' Sneed said after the hearing .",1,66,15,i m happy outcome sneed said after hearing,-1,0.5751417284448133
3955,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,-1,204,38,march goldman sachs estimates that there negative prospects norwegian mobile operations norway s telenor asa osl tel sweden s teliasonera ab sto tlsn short term,1,0.5368248506857032
319,Applying for summer work is seen as laborious and stressful .,-1,61,11,applying summer work seen as laborious stressful,1,0.5408395642954714
546,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",-1,128,30,compared ftse index which rose points day this relative price change,1,0.5153641361024514
2117,why st engineering 's lower profit guidance is not a reason to sell,1,67,13,why st engineering s lower profit guidance not reason sell,-1,0.6328137909310667
1896,sc orders blockchain startup copycash to halt its ico set for wednesday,-1,71,12,sc orders blockchain startup copycash halt its ico set wednesday,1,0.5960383338343919
2363,khazanah board 's en masse resignation offer unlikely to affect stock market,-1,76,12,khazanah board s en masse resignation offer unlikely affect stock market,1,0.5926323505778397
3478,"uob 's 3q results above consensus, but no cause for celebration",-1,63,11,uob s q results above consensus no cause celebration,1,0.5073122381047328
2337,"budget 2018 to be modestly expansionary, says philippines processing banking applications from 8 foreign lenders - central bank official",-1,136,19,budget modestly expansionary says philippines processing banking applications from foreign lenders central bank official,1,0.5166370237078297
2552,the mistakes investors are making when it comes to the trade war,-1,64,12,mistakes investors making when it comes trade war,1,0.5053428543878593
4112,"najib says his conscience is clear, umno funds not from 1mdb",1,60,11,najib says his conscience clear umno funds not from mdb,-1,0.5779272527994099
2289,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",-1,130,22,furthermore sales new passenger cars light commercial vehicles country declined yearonyear last month,1,0.6466342558773234
3161,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",1,75,11,london open taylor wimpey ashtead drive markets higher barclays falls,-1,0.7508185403856293
3311,malaysia marine and heavy engineering 3q profit down 56% as revenue shrinks,1,75,12,malaysia marine heavy engineering q profit down as revenue shrinks,-1,0.6004348690816768
410,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,-1,56,9,update shire takes q earnings pain longterm gain,1,0.6688057811588517
3105,knight frank : malaysian property market saw gentle recovery in 1h18,1,68,11,knight frank malaysian property market saw gentle recovery h,-1,0.5480045629046484
2535,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",-1,153,27,raw materials prices surged past year fueled part because rapid industrialization china india other developing nations,1,0.6050438522219079
3286,robots still missing from the largest part of japan 's economy,-1,62,11,robots still missing from largest part japan s economy,1,0.6259255359593856
2597,"monsoon rains disrupt traffic, schools in india 's financial hub of mumbai",-1,74,12,monsoon rains disrupt traffic schools india s financial hub mumbai,1,0.5255072286909034
2004,Barclays Said to Shrink Bonus Pool to Less Than 2 Billion Pounds,1,64,12,barclays said shrink bonus pool less than billion pounds,-1,0.5866284084344271
3491,peter bellew: being malaysia airlines chief probably the toughest job in aviation now,-1,85,13,peter bellew malaysia airlines chief probably toughest job aviation now,1,0.5782114633274411
507,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",-1,65,14,reporting period eps stood eur versus eur,1,0.5363295328713951
2450,azmin sees ' imminent win-win resolution' on hsr after meeting with singapore ministers,1,87,13,azmin sees imminent winwin resolution hsr after meeting singapore ministers,-1,0.5332290635195172
1360,here 's why deutsche bank favours singapore banks over hong kong ' s,1,68,13,here s why deutsche bank favours singapore banks over hong kong s,-1,0.6792684826185988
